url,title,editor,publication_model,impact_factor,impact_factor_year,impact_factor_5_years,impact_factor_5_years_year,downloads,downloads_year,journal_cover,latest_issue_cover,issn_electronic,issn_print,is_parsable
https://link.springer.com/journal/11223,Strength of Materials,Anatoly P. Zinkovskii,Subscription,0.667,2021.0,0.667,2021.0,40314.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11223.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11223/54/2.jpg,1573-9325,0039-2316,True
https://link.springer.com/journal/41127,Graphene and 2D Materials,"Costas Galiotis, ",HybridTransformativeJournal,,,,,4837.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/41127.jpg,https://media.springernature.com/w92/springer-static/cover/journal/41127/7/1.jpg,2731-6513,2731-6505,True
https://link.springer.com/journal/42411,Interceram - International Ceramic Review,,Subscription,,,,,13081.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/42411.jpg,https://media.springernature.com/w92/springer-static/cover/journal/42411/71/2.jpg,2523-8957,0020-5214,True
https://link.springer.com/journal/12003,International Journal of Self-Propagating High-Temperature Synthesis,Alexander S. Rogachev,Hybrid,,,,,6846.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/12003.jpg,https://media.springernature.com/w92/springer-static/cover/journal/12003/31/2.jpg,1934-788X,1061-3862,True
https://link.springer.com/journal/11981,Russian Journal of Non-Ferrous Metals,Evgeny A. Levashov,Hybrid,0.691,2021.0,0.691,2021.0,14706.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11981.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11981/63/3.jpg,1934-970X,1067-8212,True
https://link.springer.com/journal/11148,Refractories and Industrial Ceramics,Ivan D. Kashcheev,Subscription,0.773,2021.0,0.773,2021.0,34007.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11148.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11148/62/5.jpg,1573-9139,1083-4877,True
https://link.springer.com/journal/41313,Materials Theory,,,,,,,,,,,,,True
https://link.springer.com/journal/11508,Physics of Metals and Metallography,Vladimir V. Ustinov,Hybrid,1.319,2021.0,1.319,2021.0,31125.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11508.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11508/123/5.jpg,1555-6190,0031-918X,True
https://link.springer.com/journal/12201,Nanobiotechnology Reports,Mikhail V. Kovalchuk,Hybrid,,,,,21651.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/12201.jpg,https://media.springernature.com/w92/springer-static/cover/journal/12201/17/2.jpg,2635-1684,2635-1676,True
https://link.springer.com/journal/11181,Russian Journal of Nondestructive Testing,Vladimir N. Kostin,Hybrid,0.674,2021.0,0.674,2021.0,12930.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11181.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11181/58/3.jpg,1608-3385,1061-8309,True
https://link.springer.com/journal/11986,Steel in Translation,"Leopold I. Leont’ev, ",Hybrid,,,,,11986.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11986.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11986/52/1.jpg,1935-0988,0967-0912,True
https://link.springer.com/journal/40563,Applied Adhesion Science,,,,,,,,,,,,,True
https://link.springer.com/journal/43582,MRS Online Proceedings Library, ,Hybrid,,,,,,,https://media.springernature.com/w92/springer-static/cover/journal/43582.jpg,https://media.springernature.com/w92/springer-static/cover/journal/43582/1820/1.jpg,1946-4274,,True
https://link.springer.com/journal/43583,MRS Internet Journal of Nitride Semiconductor Research, ,Hybrid,,,,,,,https://media.springernature.com/w92/springer-static/cover/journal/43583.jpg,https://media.springernature.com/w92/springer-static/cover/journal/43583/10/1.jpg,1092-5783,,True
https://link.springer.com/journal/42833,BMC Materials,,,,,,,,,,,,,True
https://link.springer.com/journal/40679,Advanced Structural and Chemical Imaging,,,,,,,,,https://media.springernature.com/w92/springer-static/cover/journal/40679.jpg,,,,True
